"Date","Price","Open","High","Low","Vol.","Change %"
"07-05-2023","2,322,304","2,357,674","2,379,267","2,322,304","","-1.50%"
"06-05-2023","2,357,730","2,411,426","2,436,349","2,322,129","","-2.22%"
"05-05-2023","2,411,314","2,356,750","2,422,234","2,355,073","","2.35%"
"04-05-2023","2,356,031","2,374,047","2,399,768","2,345,359","","-0.65%"
"03-05-2023","2,371,409","2,344,306","2,391,393","2,303,432","","1.14%"
"02-05-2023","2,344,651","2,295,835","2,359,940","2,282,076","","2.12%"
"01-05-2023","2,296,051","2,390,822","2,397,406","2,263,452","","-3.95%"
"30-04-2023","2,390,476","2,388,870","2,446,867","2,377,476","","0.07%"
"29-04-2023","2,388,870","2,395,510","2,404,095","2,374,482","","-0.32%"
"28-04-2023","2,396,494","2,409,820","2,419,743","2,365,130","","-0.56%"
"27-04-2023","2,410,103","2,323,846","2,439,701","2,321,899","","3.73%"
"26-04-2023","2,323,531","2,320,581","2,452,083","2,232,577","","0.13%"
"25-04-2023","2,320,422","2,251,840","2,326,418","2,228,646","","2.99%"
"24-04-2023","2,252,951","2,263,948","2,294,380","2,217,229","","-0.49%"
"23-04-2023","2,263,948","2,281,733","2,281,872","2,246,811","","-0.78%"
"22-04-2023","2,281,733","2,236,606","2,286,417","2,229,088","","1.97%"
"21-04-2023","2,237,627","2,319,697","2,331,439","2,230,322","","-3.51%"
"20-04-2023","2,319,027","2,372,164","2,388,556","2,303,895","","-2.19%"
"19-04-2023","2,371,018","2,494,421","2,496,476","2,356,856","","-4.95%"
"18-04-2023","2,494,618","2,413,400","2,498,977","2,389,445","","3.36%"
"17-04-2023","2,413,475","2,480,510","2,480,695","2,400,626","","-2.70%"
"16-04-2023","2,480,510","2,479,538","2,499,767","2,466,026","","0.03%"
"15-04-2023","2,479,739","2,493,673","2,502,852","2,473,249","","-0.55%"
"14-04-2023","2,493,467","2,481,061","2,525,625","2,460,188","","0.54%"
"13-04-2023","2,480,114","2,449,658","2,491,969","2,448,063","","1.27%"
"12-04-2023","2,449,030","2,479,239","2,498,401","2,433,891","","-1.21%"
"11-04-2023","2,479,048","2,429,806","2,499,686","2,426,275","","2.02%"
"10-04-2023","2,429,885","2,319,292","2,438,912","2,310,177","","4.77%"
"09-04-2023","2,319,292","2,287,431","2,334,135","2,276,517","","1.39%"
"08-04-2023","2,287,431","2,284,807","2,304,698","2,281,013","","0.11%"
"07-04-2023","2,284,853","2,294,051","2,299,327","2,272,375","","-0.40%"
"06-04-2023","2,293,958","2,308,709","2,308,709","2,273,077","","-0.65%"
"05-04-2023","2,308,877","2,312,502","2,359,372","2,279,149","","-0.15%"
"04-04-2023","2,312,293","2,283,980","2,336,559","2,272,495","","1.30%"
"03-04-2023","2,282,650","2,315,285","2,341,968","2,239,115","","-1.50%"
"02-04-2023","2,317,441","2,338,261","2,344,076","2,290,200","","-0.88%"
"01-04-2023","2,338,086","2,339,937","2,366,316","2,324,249","","-0.07%"
"31-03-2023","2,339,814","2,301,160","2,353,738","2,269,210","","1.67%"
"30-03-2023","2,301,421","2,331,831","2,398,161","2,275,984","","-1.31%"
"29-03-2023","2,331,865","2,239,893","2,356,559","2,238,830","","4.12%"
"28-03-2023","2,239,601","2,230,078","2,256,596","2,190,561","","0.42%"
"27-03-2023","2,230,243","2,303,038","2,307,088","2,188,424","","-3.15%"
"26-03-2023","2,302,883","2,261,998","2,317,790","2,258,450","","1.82%"
"25-03-2023","2,261,778","2,260,616","2,285,531","2,237,043","","0.02%"
"24-03-2023","2,261,308","2,327,737","2,332,438","2,228,448","","-2.87%"
"23-03-2023","2,328,116","2,248,966","2,357,577","2,238,558","","3.48%"
"22-03-2023","2,249,801","2,323,987","2,372,564","2,203,195","","-3.24%"
"21-03-2023","2,325,102","2,288,106","2,351,323","2,261,306","","1.64%"
"20-03-2023","2,287,546","2,307,442","2,351,249","2,239,787","","-0.84%"
"19-03-2023","2,306,828","2,220,906","2,339,411","2,215,350","","3.90%"
"18-03-2023","2,220,168","2,260,531","2,282,220","2,208,291","","-1.81%"
"17-03-2023","2,261,069","2,065,651","2,287,886","2,057,197","","9.45%"
"16-03-2023","2,065,885","2,008,321","2,077,117","1,997,367","","2.87%"
"15-03-2023","2,008,301","2,032,407","2,076,656","1,983,038","","-1.15%"
"14-03-2023","2,031,686","1,983,868","2,169,479","1,973,430","","2.44%"
"13-03-2023","1,983,250","1,802,080","2,004,616","1,794,748","","10.02%"
"12-03-2023","1,802,674","1,676,729","1,804,713","1,662,831","","7.49%"
"11-03-2023","1,677,072","1,651,778","1,692,876","1,621,937","","1.49%"
"10-03-2023","1,652,437","1,670,210","1,670,210","1,609,520","","-1.11%"
"09-03-2023","1,670,981","1,778,462","1,790,046","1,647,224","","-6.09%"
"08-03-2023","1,779,358","1,820,489","1,826,465","1,775,258","","-2.28%"
"07-03-2023","1,820,847","1,833,481","1,842,292","1,798,273","","-0.70%"
"06-03-2023","1,833,609","1,831,974","1,847,999","1,823,670","","0.05%"
"05-03-2023","1,832,629","1,825,997","1,848,319","1,814,911","","0.38%"
"04-03-2023","1,825,684","1,826,618","1,830,588","1,811,240","","-0.03%"
"03-03-2023","1,826,254","1,932,487","1,933,171","1,810,985","","-5.49%"
"02-03-2023","1,932,378","1,947,472","1,959,807","1,914,311","","-0.83%"
"01-03-2023","1,948,581","1,912,358","1,971,891","1,902,823","","1.95%"
"28-02-2023","1,911,401","1,941,806","1,948,909","1,903,565","","-1.57%"
"27-02-2023","1,941,916","1,953,611","1,974,011","1,916,475","","-0.59%"
"26-02-2023","1,953,531","1,921,056","1,963,006","1,912,774","","1.66%"
"25-02-2023","1,921,696","1,923,134","1,924,615","1,888,681","","-0.09%"
"24-02-2023","1,923,386","1,977,532","1,993,016","1,904,955","","-2.70%"
"23-02-2023","1,976,795","2,003,644","2,035,220","1,954,473","","-1.33%"
"22-02-2023","2,003,540","2,025,529","2,027,962","1,953,678","","-1.07%"
"21-02-2023","2,025,275","2,054,127","2,089,269","2,002,219","","-1.39%"
"20-02-2023","2,053,835","2,008,780","2,074,503","1,975,322","","2.23%"
"19-02-2023","2,009,112","2,038,634","2,079,613","2,009,112","","-1.46%"
"18-02-2023","2,038,830","2,033,854","2,054,637","2,024,240","","0.29%"
"17-02-2023","2,032,953","1,945,668","2,067,602","1,932,868","","4.10%"
"16-02-2023","1,952,806","2,013,526","2,088,161","1,945,352","","-3.03%"
"15-02-2023","2,013,727","1,840,115","2,013,727","1,828,395","","9.41%"
"14-02-2023","1,840,533","1,798,673","1,847,789","1,784,344","","2.35%"
"13-02-2023","1,798,280","1,797,429","1,808,986","1,769,931","","0.03%"
"12-02-2023","1,797,786","1,803,920","1,822,141","1,786,755","","-0.32%"
"11-02-2023","1,803,585","1,784,615","1,806,852","1,782,892","","1.04%"
"10-02-2023","1,785,042","1,799,062","1,810,954","1,773,594","","-0.74%"
"09-02-2023","1,798,270","1,898,236","1,901,479","1,794,313","","-5.21%"
"08-02-2023","1,897,187","1,927,108","1,941,147","1,875,984","","-1.54%"
"07-02-2023","1,926,923","1,883,673","1,932,075","1,882,540","","2.33%"
"06-02-2023","1,882,995","1,885,364","1,915,259","1,865,899","","-0.13%"
"05-02-2023","1,885,380","1,918,224","1,926,197","1,872,155","","-1.72%"
"04-02-2023","1,918,326","1,926,841","1,938,426","1,913,515","","-0.46%"
"03-02-2023","1,927,244","1,929,431","1,948,422","1,908,307","","0.11%"
"02-02-2023","1,925,118","1,939,850","1,978,939","1,919,646","","-0.74%"
"01-02-2023","1,939,533","1,891,280","1,944,453","1,864,803","","2.51%"
"31-01-2023","1,892,089","1,861,017","1,902,592","1,853,686","","1.65%"
"30-01-2023","1,861,333","1,935,551","1,940,524","1,838,821","","-3.87%"
"29-01-2023","1,936,258","1,876,735","1,952,610","1,872,653","","3.15%"
"28-01-2023","1,877,219","1,880,897","1,889,596","1,865,887","","-0.16%"
"27-01-2023","1,880,269","1,874,494","1,915,173","1,840,429","","0.31%"
"26-01-2023","1,874,494","1,879,350","1,896,293","1,865,319","","-0.40%"
"25-01-2023","1,882,032","1,846,884","1,938,348","1,825,061","","1.89%"
"24-01-2023","1,847,148","1,866,836","1,889,450","1,837,371","","-1.09%"
"23-01-2023","1,867,584","1,838,473","1,886,425","1,833,129","","1.52%"
"22-01-2023","1,839,677","1,844,636","1,868,167","1,806,503","","-0.25%"
"21-01-2023","1,844,314","1,836,327","1,887,293","1,818,936","","0.36%"
"20-01-2023","1,837,789","1,712,160","1,840,020","1,695,687","","7.30%"
"19-01-2023","1,712,749","1,683,663","1,719,746","1,683,440","","1.73%"
"18-01-2023","1,683,543","1,725,558","1,752,210","1,664,008","","-2.42%"
"17-01-2023","1,725,283","1,729,793","1,754,496","1,708,600","","-0.25%"
"16-01-2023","1,729,536","1,696,115","1,748,843","1,688,411","","1.92%"
"15-01-2023","1,696,991","1,703,322","1,707,786","1,673,076","","-0.38%"
"14-01-2023","1,703,449","1,619,714","1,721,556","1,617,385","","5.18%"
"13-01-2023","1,619,632","1,529,201","1,624,281","1,519,109","","5.87%"
"12-01-2023","1,529,807","1,464,646","1,545,471","1,461,570","","4.44%"
"11-01-2023","1,464,818","1,423,652","1,468,678","1,413,808","","2.90%"
"10-01-2023","1,423,507","1,411,849","1,427,691","1,407,626","","0.79%"
"09-01-2023","1,412,312","1,410,093","1,427,706","1,407,477","","0.33%"
"08-01-2023","1,407,680","1,394,036","1,407,680","1,391,585","","0.98%"
"07-01-2023","1,394,080","1,394,643","1,397,025","1,391,264","","-0.04%"
"06-01-2023","1,394,640","1,390,170","1,399,621","1,381,787","","0.33%"
"05-01-2023","1,390,111","1,392,980","1,395,072","1,385,218","","-0.22%"
"04-01-2023","1,393,182","1,380,291","1,404,687","1,378,845","","0.93%"
"03-01-2023","1,380,288","1,380,123","1,389,049","1,376,610","","0.00%"
"02-01-2023","1,380,249","1,375,148","1,387,860","1,369,502","","0.39%"
"01-01-2023","1,374,877","1,368,453","1,375,425","1,365,336","","0.47%"
"31-12-2022","1,368,397","1,374,205","1,376,553","1,364,311","","-0.42%"
"30-12-2022","1,374,233","1,377,267","1,378,017","1,354,961","","-0.24%"
"29-12-2022","1,377,551","1,369,476","1,380,654","1,365,416","","0.58%"
"28-12-2022","1,369,561","1,383,806","1,388,942","1,363,528","","-1.03%"
"27-12-2022","1,383,777","1,398,531","1,402,321","1,377,074","","-1.06%"
"26-12-2022","1,398,645","1,393,659","1,400,906","1,389,023","","0.37%"
"25-12-2022","1,393,512","1,393,811","1,395,250","1,385,363","","-0.03%"
"24-12-2022","1,393,865","1,389,147","1,395,483","1,389,038","","0.34%"
"23-12-2022","1,389,128","1,394,204","1,400,337","1,388,373","","-0.35%"
"22-12-2022","1,394,060","1,395,166","1,397,182","1,374,231","","0.00%"
"21-12-2022","1,394,054","1,395,828","1,400,316","1,387,037","","-0.15%"
"20-12-2022","1,396,175","1,357,340","1,406,735","1,354,918","","2.84%"
"19-12-2022","1,357,589","1,385,589","1,390,662","1,350,363","","-2.00%"
"18-12-2022","1,385,281","1,387,966","1,391,263","1,378,816","","-0.20%"
"17-12-2022","1,387,995","1,375,594","1,389,450","1,372,292","","0.90%"
"16-12-2022","1,375,571","1,438,127","1,451,230","1,369,209","","-4.35%"
"15-12-2022","1,438,081","1,468,028","1,472,166","1,433,200","","-2.04%"
"14-12-2022","1,467,970","1,465,018","1,512,513","1,460,932","","0.20%"
"13-12-2022","1,465,014","1,422,422","1,485,145","1,413,637","","3.04%"
"12-12-2022","1,421,793","1,408,794","1,424,171","1,392,032","","0.94%"
"11-12-2022","1,408,504","1,411,628","1,422,831","1,407,763","","-0.21%"
"10-12-2022","1,411,479","1,411,474","1,419,342","1,409,843","","0.00%"
"09-12-2022","1,411,511","1,417,504","1,423,020","1,407,752","","-0.42%"
"08-12-2022","1,417,448","1,384,445","1,423,165","1,380,247","","2.42%"
"07-12-2022","1,383,926","1,409,723","1,412,751","1,378,329","","-1.81%"
"06-12-2022","1,409,436","1,389,901","1,410,671","1,389,822","","1.44%"
"05-12-2022","1,389,427","1,393,085","1,420,348","1,383,056","","-0.30%"
"04-12-2022","1,393,607","1,374,991","1,400,803","1,374,768","","1.33%"
"03-12-2022","1,375,264","1,392,024","1,393,996","1,373,214","","-1.19%"
"02-12-2022","1,391,831","1,377,585","1,391,926","1,365,046","","1.07%"
"01-12-2022","1,377,120","1,396,655","1,401,568","1,368,552","","-1.40%"
"30-11-2022","1,396,696","1,342,021","1,400,783","1,341,413","","4.09%"
"29-11-2022","1,341,807","1,323,773","1,350,997","1,314,613","","1.36%"
"28-11-2022","1,323,743","1,342,303","1,346,783","1,307,498","","-1.38%"
"27-11-2022","1,342,233","1,344,788","1,355,912","1,341,367","","-0.19%"
"26-11-2022","1,344,831","1,349,361","1,363,521","1,339,015","","-0.35%"
"25-11-2022","1,349,585","1,355,388","1,356,240","1,333,721","","-0.43%"
"24-11-2022","1,355,376","1,355,521","1,370,176","1,345,394","","-0.14%"
"23-11-2022","1,357,332","1,325,122","1,363,513","1,321,047","","2.53%"
"22-11-2022","1,323,810","1,290,406","1,329,825","1,277,208","","2.61%"
"21-11-2022","1,290,183","1,329,218","1,332,600","1,267,021","","-2.99%"
"20-11-2022","1,329,953","1,363,525","1,367,620","1,323,637","","-2.48%"
"19-11-2022","1,363,781","1,358,591","1,372,955","1,356,193","","0.38%"
"18-11-2022","1,358,591","1,362,703","1,375,668","1,352,175","","-0.34%"
"17-11-2022","1,363,253","1,360,223","1,367,348","1,339,477","","1.17%"
"16-11-2022","1,347,470","1,370,352","1,383,847","1,336,017","","-1.65%"
"15-11-2022","1,370,139","1,345,897","1,383,836","1,340,030","","1.81%"
"14-11-2022","1,345,798","1,314,510","1,393,550","1,283,729","","2.37%"
"13-11-2022","1,314,640","1,352,396","1,363,978","1,310,405","","-2.78%"
"12-11-2022","1,352,299","1,373,147","1,376,974","1,339,470","","-1.60%"
"11-11-2022","1,374,219","1,418,387","1,426,335","1,324,959","","-3.19%"
"10-11-2022","1,419,512","1,294,927","1,463,060","1,285,750","","9.86%"
"09-11-2022","1,292,097","1,508,492","1,512,302","1,269,947","","-14.26%"
"08-11-2022","1,506,994","1,684,500","1,692,513","1,402,443","","-10.58%"
"07-11-2022","1,685,221","1,713,922","1,726,078","1,670,198","","-1.76%"
"06-11-2022","1,715,442","1,746,115","1,751,190","1,713,517","","-1.71%"
"05-11-2022","1,745,284","1,733,564","1,759,683","1,728,472","","0.67%"
"04-11-2022","1,733,744","1,670,942","1,743,448","1,668,879","","3.77%"
"03-11-2022","1,670,762","1,666,981","1,688,612","1,663,816","","0.20%"
"02-11-2022","1,667,405","1,693,176","1,719,001","1,660,218","","-1.52%"
"01-11-2022","1,693,215","1,696,430","1,708,985","1,679,790","","-0.21%"
"31-10-2022","1,696,846","1,697,026","1,722,781","1,677,039","","0.02%"
"30-10-2022","1,696,584","1,711,885","1,721,225","1,688,322","","-0.91%"
"29-10-2022","1,712,086","1,694,213","1,730,509","1,691,571","","1.04%"
"28-10-2022","1,694,389","1,671,932","1,707,869","1,654,011","","1.35%"
"27-10-2022","1,671,879","1,701,030","1,716,844","1,667,049","","-1.71%"
"26-10-2022","1,701,052","1,655,995","1,720,135","1,654,102","","2.71%"
"25-10-2022","1,656,164","1,599,906","1,683,579","1,592,723","","3.52%"
"24-10-2022","1,599,905","1,615,463","1,616,854","1,588,191","","-0.94%"
"23-10-2022","1,615,067","1,585,170","1,624,452","1,575,881","","1.89%"
"22-10-2022","1,585,152","1,581,691","1,588,863","1,578,052","","0.21%"
"21-10-2022","1,581,829","1,577,219","1,589,051","1,552,108","","0.28%"
"20-10-2022","1,577,440","1,587,804","1,597,029","1,571,045","","-0.64%"
"19-10-2022","1,587,669","1,590,085","1,600,527","1,578,472","","-0.20%"
"18-10-2022","1,590,861","1,606,667","1,619,297","1,572,027","","-0.99%"
"17-10-2022","1,606,818","1,587,118","1,615,602","1,578,293","","1.24%"
"16-10-2022","1,587,136","1,570,641","1,598,923","1,570,381","","1.07%"
"15-10-2022","1,570,332","1,579,906","1,582,978","1,565,049","","-0.60%"
"14-10-2022","1,579,779","1,592,786","1,638,494","1,573,188","","-0.85%"
"13-10-2022","1,593,265","1,574,499","1,601,620","1,496,304","","1.19%"
"12-10-2022","1,574,530","1,568,111","1,580,419","1,564,666","","0.43%"
"11-10-2022","1,567,763","1,577,048","1,582,702","1,553,066","","-0.58%"
"10-10-2022","1,576,974","1,610,374","1,616,937","1,570,762","","-2.07%"
"09-10-2022","1,610,274","1,608,122","1,619,519","1,601,144","","0.13%"
"08-10-2022","1,608,118","1,617,693","1,624,462","1,596,591","","-0.63%"
"07-10-2022","1,618,312","1,643,962","1,650,999","1,599,085","","-1.53%"
"06-10-2022","1,643,497","1,645,767","1,668,577","1,633,411","","-0.17%"
"05-10-2022","1,646,233","1,657,268","1,658,858","1,613,705","","-0.63%"
"04-10-2022","1,656,736","1,599,734","1,664,859","1,591,089","","3.58%"
"03-10-2022","1,599,502","1,553,562","1,603,547","1,549,093","","2.99%"
"02-10-2022","1,553,083","1,574,326","1,580,668","1,543,742","","-1.34%"
"01-10-2022","1,574,224","1,583,415","1,588,059","1,562,549","","-0.59%"
"30-09-2022","1,583,644","1,596,987","1,640,743","1,563,819","","-0.81%"
"29-09-2022","1,596,505","1,581,374","1,601,743","1,542,404","","1.01%"
"28-09-2022","1,580,617","1,559,744","1,608,582","1,514,375","","1.20%"
"27-09-2022","1,561,939","1,569,284","1,659,570","1,541,185","","-0.45%"
"26-09-2022","1,568,978","1,528,647","1,574,447","1,524,267","","2.80%"
"25-09-2022","1,526,278","1,537,392","1,555,724","1,516,321","","-0.72%"
"24-09-2022","1,537,416","1,566,964","1,568,510","1,528,159","","-1.93%"
"23-09-2022","1,567,655","1,572,909","1,579,240","1,505,685","","-0.36%"
"22-09-2022","1,573,269","1,478,052","1,578,958","1,468,495","","6.18%"
"21-09-2022","1,481,762","1,505,540","1,579,818","1,457,092","","-1.56%"
"20-09-2022","1,505,291","1,557,349","1,564,063","1,498,241","","-3.31%"
"19-09-2022","1,556,863","1,547,353","1,566,886","1,455,828","","0.53%"
"18-09-2022","1,548,647","1,602,758","1,602,758","1,541,053","","-3.42%"
"17-09-2022","1,603,553","1,578,116","1,607,942","1,574,760","","1.70%"
"16-09-2022","1,576,675","1,573,805","1,585,214","1,542,543","","0.21%"
"15-09-2022","1,573,302","1,606,892","1,616,534","1,558,893","","-2.07%"
"14-09-2022","1,606,580","1,606,041","1,631,734","1,562,436","","0.04%"
"13-09-2022","1,605,912","1,777,085","1,797,130","1,584,710","","-9.61%"
"12-09-2022","1,776,704","1,738,959","1,784,824","1,718,734","","2.34%"
"11-09-2022","1,736,130","1,724,884","1,736,130","1,702,577","","0.60%"
"10-09-2022","1,725,721","1,701,966","1,735,809","1,684,121","","1.29%"
"09-09-2022","1,703,764","1,539,822","1,716,231","1,537,790","","10.61%"
"08-09-2022","1,540,282","1,537,481","1,550,839","1,518,349","","0.28%"
"07-09-2022","1,536,035","1,501,336","1,548,430","1,482,548","","2.27%"
"06-09-2022","1,501,886","1,579,366","1,613,071","1,496,644","","-4.89%"
"05-09-2022","1,579,080","1,595,133","1,597,641","1,567,796","","-0.94%"
"04-09-2022","1,594,038","1,581,090","1,595,916","1,562,143","","0.83%"
"03-09-2022","1,580,994","1,590,580","1,597,928","1,567,832","","-0.64%"
"02-09-2022","1,591,098","1,604,811","1,627,717","1,576,058","","-0.84%"
"01-09-2022","1,604,643","1,594,912","1,607,681","1,560,700","","0.64%"
"31-08-2022","1,594,472","1,579,150","1,625,547","1,578,430","","1.09%"
"30-08-2022","1,577,320","1,623,029","1,638,035","1,556,718","","-2.79%"
"29-08-2022","1,622,590","1,563,251","1,629,285","1,563,251","","3.82%"
"28-08-2022","1,562,818","1,601,891","1,611,269","1,562,818","","-2.44%"
"27-08-2022","1,601,828","1,619,127","1,625,989","1,587,074","","-1.12%"
"26-08-2022","1,619,945","1,719,454","1,740,757","1,609,075","","-6.01%"
"25-08-2022","1,723,602","1,704,863","1,741,487","1,701,699","","1.10%"
"24-08-2022","1,704,804","1,718,186","1,740,486","1,690,715","","-0.79%"
"23-08-2022","1,718,294","1,709,696","1,726,591","1,671,254","","0.48%"
"22-08-2022","1,710,107","1,719,637","1,722,339","1,671,373","","-0.56%"
"21-08-2022","1,719,767","1,689,390","1,733,677","1,684,334","","1.72%"
"20-08-2022","1,690,757","1,664,611","1,706,901","1,663,365","","1.52%"
"19-08-2022","1,665,378","1,850,701","1,850,701","1,663,800","","-9.99%"
"18-08-2022","1,850,207","1,852,083","1,878,501","1,846,105","","-0.08%"
"17-08-2022","1,851,600","1,888,110","1,939,722","1,840,937","","-1.97%"
"16-08-2022","1,888,831","1,917,516","1,929,916","1,878,888","","-1.42%"
"15-08-2022","1,915,976","1,935,086","2,007,744","1,891,922","","-0.98%"
"14-08-2022","1,934,961","1,946,252","1,990,232","1,924,964","","-0.56%"
"13-08-2022","1,945,827","1,942,791","1,981,357","1,936,534","","0.16%"
"12-08-2022","1,942,748","1,905,840","1,945,891","1,883,097","","1.93%"
"11-08-2022","1,905,966","1,894,894","1,977,389","1,892,290","","0.61%"
"10-08-2022","1,894,497","1,842,297","1,914,102","1,808,071","","2.90%"
"09-08-2022","1,841,048","1,895,846","1,903,372","1,819,886","","-2.87%"
"08-08-2022","1,895,442","1,840,344","1,928,698","1,839,197","","2.97%"
"07-08-2022","1,840,768","1,827,493","1,856,258","1,821,224","","0.79%"
"06-08-2022","1,826,335","1,856,618","1,858,474","1,825,570","","-1.56%"
"05-08-2022","1,855,259","1,790,554","1,857,283","1,788,255","","3.64%"
"04-08-2022","1,790,177","1,805,334","1,842,522","1,776,126","","-0.98%"
"03-08-2022","1,807,846","1,807,056","1,869,647","1,784,903","","0.09%"
"02-08-2022","1,806,184","1,837,234","1,848,423","1,780,638","","-1.77%"
"01-08-2022","1,838,822","1,844,427","1,857,635","1,805,561","","-0.41%"
"31-07-2022","1,846,349","1,871,755","1,914,785","1,839,966","","-1.37%"
"30-07-2022","1,872,046","1,882,803","1,948,744","1,862,931","","-0.66%"
"29-07-2022","1,884,496","1,897,752","1,931,082","1,860,515","","-0.71%"
"28-07-2022","1,897,900","1,833,178","1,924,813","1,801,476","","3.53%"
"27-07-2022","1,833,245","1,696,383","1,837,540","1,680,541","","7.93%"
"26-07-2022","1,698,563","1,698,226","1,700,146","1,655,327","","-0.06%"
"25-07-2022","1,699,547","1,803,804","1,809,446","1,696,203","","-5.80%"
"24-07-2022","1,804,124","1,793,244","1,835,160","1,779,813","","0.56%"
"23-07-2022","1,794,050","1,811,163","1,836,597","1,755,115","","-1.07%"
"22-07-2022","1,813,393","1,846,808","1,895,721","1,800,119","","-1.80%"
"21-07-2022","1,846,629","1,857,893","1,872,665","1,786,018","","-0.58%"
"20-07-2022","1,857,400","1,868,432","1,940,252","1,834,724","","-0.66%"
"19-07-2022","1,869,666","1,795,823","1,896,940","1,725,141","","3.36%"
"18-07-2022","1,808,835","1,657,741","1,818,139","1,655,794","","9.16%"
"17-07-2022","1,657,095","1,690,795","1,726,484","1,655,252","","-1.92%"
"16-07-2022","1,689,463","1,660,325","1,718,616","1,632,996","","1.79%"
"15-07-2022","1,659,821","1,644,551","1,688,325","1,629,703","","0.92%"
"14-07-2022","1,644,611","1,614,902","1,664,421","1,572,967","","1.83%"
"13-07-2022","1,615,127","1,536,703","1,616,172","1,511,751","","5.16%"
"12-07-2022","1,535,848","1,586,758","1,597,071","1,533,107","","-3.18%"
"11-07-2022","1,586,266","1,653,838","1,653,838","1,581,407","","-4.08%"
"10-07-2022","1,653,764","1,712,634","1,713,595","1,641,616","","-3.43%"
"09-07-2022","1,712,495","1,714,407","1,740,819","1,692,638","","-0.12%"
"08-07-2022","1,714,585","1,714,384","1,771,183","1,683,557","","-0.04%"
"07-07-2022","1,715,301","1,625,307","1,727,803","1,602,455","","5.52%"
"06-07-2022","1,625,527","1,601,661","1,633,022","1,566,595","","1.40%"
"05-07-2022","1,603,089","1,596,591","1,637,965","1,533,474","","0.44%"
"04-07-2022","1,596,134","1,524,923","1,602,684","1,504,947","","4.66%"
"03-07-2022","1,525,022","1,519,750","1,550,228","1,490,440","","0.36%"
"02-07-2022","1,519,602","1,522,303","1,532,416","1,501,428","","0.00%"
"01-07-2022","1,519,607","1,573,056","1,634,425","1,498,459","","-3.05%"
"30-06-2022","1,567,420","1,587,676","1,590,669","1,475,550","","-1.26%"
"29-06-2022","1,587,385","1,603,604","1,610,902","1,570,360","","-1.05%"
"28-06-2022","1,604,227","1,626,527","1,670,164","1,598,672","","-1.29%"
"27-06-2022","1,625,122","1,646,283","1,683,397","1,614,423","","-1.32%"
"26-06-2022","1,646,801","1,681,852","1,707,531","1,642,489","","-2.04%"
"25-06-2022","1,681,055","1,661,516","1,686,700","1,637,874","","1.26%"
"24-06-2022","1,660,198","1,648,891","1,681,492","1,624,946","","0.68%"
"23-06-2022","1,648,909","1,561,596","1,656,281","1,560,968","","5.59%"
"22-06-2022","1,561,647","1,619,492","1,632,650","1,547,043","","-3.58%"
"21-06-2022","1,619,690","1,603,176","1,691,303","1,588,677","","1.00%"
"20-06-2022","1,603,699","1,603,656","1,638,612","1,534,137","","-0.10%"
"19-06-2022","1,605,359","1,480,659","1,618,618","1,403,046","","8.28%"
"18-06-2022","1,482,555","1,594,844","1,618,703","1,375,045","","-7.07%"
"17-06-2022","1,595,351","1,590,704","1,664,175","1,580,282","","0.37%"
"16-06-2022","1,589,508","1,759,135","1,790,420","1,578,126","","-9.69%"
"15-06-2022","1,760,010","1,726,037","1,772,782","1,570,281","","1.67%"
"14-06-2022","1,731,020","1,756,823","1,798,335","1,629,311","","-1.35%"
"13-06-2022","1,754,704","2,079,757","2,104,234","1,719,743","","-15.92%"
"12-06-2022","2,086,958","2,220,789","2,231,072","2,086,256","","-5.95%"
"11-06-2022","2,218,917","2,274,131","2,300,524","2,201,963","","-2.40%"
"10-06-2022","2,273,462","2,343,419","2,358,651","2,257,326","","-2.97%"
"09-06-2022","2,343,167","2,347,694","2,386,818","2,330,348","","-0.22%"
"08-06-2022","2,348,364","2,417,934","2,436,885","2,321,382","","-2.97%"
"07-06-2022","2,420,244","2,441,494","2,456,012","2,274,686","","-0.90%"
"06-06-2022","2,442,164","2,324,083","2,467,619","2,322,415","","5.02%"
"05-06-2022","2,325,511","2,320,681","2,344,263","2,295,452","","0.22%"
"04-06-2022","2,320,356","2,307,971","2,328,345","2,291,421","","0.57%"
"03-06-2022","2,307,250","2,356,422","2,374,961","2,278,803","","-2.10%"
"02-06-2022","2,356,771","2,312,029","2,370,970","2,295,462","","1.95%"
"01-06-2022","2,311,614","2,468,530","2,489,880","2,281,881","","-6.26%"
"31-05-2022","2,466,105","2,460,320","2,513,737","2,426,300","","0.21%"
"30-05-2022","2,460,843","2,289,443","2,481,860","2,277,305","","7.46%"
"29-05-2022","2,290,026","2,255,508","2,296,676","2,241,053","","1.50%"
"28-05-2022","2,256,118","2,224,312","2,267,049","2,217,534","","1.51%"
"27-05-2022","2,222,662","2,268,534","2,281,167","2,195,862","","-1.90%"
"26-05-2022","2,265,663","2,290,010","2,322,324","2,177,102","","-1.08%"
"25-05-2022","2,290,407","2,297,610","2,342,466","2,278,099","","-0.27%"
"24-05-2022","2,296,673","2,256,127","2,309,778","2,226,589","","1.79%"
"23-05-2022","2,256,186","2,357,608","2,379,071","2,242,173","","-4.28%"
"22-05-2022","2,357,007","2,291,374","2,371,399","2,278,030","","2.84%"
"21-05-2022","2,291,939","2,272,713","2,306,158","2,252,915","","0.91%"
"20-05-2022","2,271,369","2,347,357","2,378,749","2,239,681","","-3.25%"
